"Emplacamento de Caminhões"
"Período";"CAMINHÕES"
"1977 - JUL";7717
"1977 - AGO";7950
"1977 - SET";7829
"1977 - OUT";7235
"1977 - NOV";6537
"1977 - DEZ";6592
"1978 - JAN";6040
"1978 - FEV";4880
"1978 - MAR";7664
"1978 - ABR";6251
"1978 - MAI";6289
"1978 - JUN";7509
"1978 - JUL";6235
"1978 - AGO";7349
"1978 - SET";7584
"1978 - OUT";6061
"1978 - NOV";5853
"1978 - DEZ";7176
"1979 - JAN";5794
"1979 - FEV";5547
"1979 - MAR";6017
"1979 - ABR";6194
"1979 - MAI";6437
"1979 - JUN";6691
"1979 - JUL";6557
"1979 - AGO";8131
"1979 - SET";6275
"1979 - OUT";7646
"1979 - NOV";6537
"1979 - DEZ";6880
"1980 - JAN";6696
"1980 - FEV";6840
"1980 - MAR";7130
"1980 - ABR";2799
"1980 - MAI";4389
"1980 - JUN";6981
"1980 - JUL";7631
"1980 - AGO";8102
"1980 - SET";7661
"1980 - OUT";8871
"1980 - NOV";8099
"1980 - DEZ";6734
"1981 - JAN";7448
"1981 - FEV";7395
"1981 - MAR";6762
"1981 - ABR";6451
"1981 - MAI";5097
"1981 - JUN";4733
"1981 - JUL";3258
"1981 - AGO";4195
"1981 - SET";2994
"1981 - OUT";2481
"1981 - NOV";2777
"1981 - DEZ";2347
"1982 - JAN";3116
"1982 - FEV";3419
"1982 - MAR";4112
"1982 - ABR";4422
"1982 - MAI";4157
"1982 - JUN";4425
"1982 - JUL";4027
"1982 - AGO";3590
"1982 - SET";3389
"1982 - OUT";2700
"1982 - NOV";2039
"1982 - DEZ";1861
"1983 - JAN";2456
"1983 - FEV";2905
"1983 - MAR";2986
"1983 - ABR";2670
"1983 - MAI";2944
"1983 - JUN";2961
"1983 - JUL";2595
"1983 - AGO";3121
"1983 - SET";3023
"1983 - OUT";3296
"1983 - NOV";2707
"1983 - DEZ";2909
"1984 - JAN";2944
"1984 - FEV";3338
"1984 - MAR";3499
"1984 - ABR";3735
"1984 - MAI";4156
"1984 - JUN";3821
"1984 - JUL";3131
"1984 - AGO";3508
"1984 - SET";3511
"1984 - OUT";4076
"1984 - NOV";3619
"1984 - DEZ";3546
"1985 - JAN";4045
"1985 - FEV";3456
"1985 - MAR";4125
"1985 - ABR";2283
"1985 - MAI";2838
"1985 - JUN";3773
"1985 - JUL";6459
"1985 - AGO";5736
"1985 - SET";5572
"1985 - OUT";6629
"1985 - NOV";5756
"1985 - DEZ";4992
"1986 - JAN";5170
"1986 - FEV";5443
"1986 - MAR";6705
"1986 - ABR";7010
"1986 - MAI";6373
"1986 - JUN";5706
"1986 - JUL";6841
"1986 - AGO";6113
"1986 - SET";6666
"1986 - OUT";6764
"1986 - NOV";3129
"1986 - DEZ";5933
"1987 - JAN";3777
"1987 - FEV";4609
"1987 - MAR";3915
"1987 - ABR";5700
"1987 - MAI";4965
"1987 - JUN";3499
"1987 - JUL";5563
"1987 - AGO";4791
"1987 - SET";4584
"1987 - OUT";5607
"1987 - NOV";4662
"1987 - DEZ";4713
"1988 - JAN";3661
"1988 - FEV";4639
"1988 - MAR";5376
"1988 - ABR";4671
"1988 - MAI";4738
"1988 - JUN";5033
"1988 - JUL";4896
"1988 - AGO";5445
"1988 - SET";4010
"1988 - OUT";4423
"1988 - NOV";4179
"1988 - DEZ";3841
"1989 - JAN";2693
"1989 - FEV";3207
"1989 - MAR";4359
"1989 - ABR";2777
"1989 - MAI";3038
"1989 - JUN";4128
"1989 - JUL";4689
"1989 - AGO";5222
"1989 - SET";4984
"1989 - OUT";4514
"1989 - NOV";4086
"1989 - DEZ";4481
"1990 - JAN";3554
"1990 - FEV";4567
"1990 - MAR";2157
"1990 - ABR";2808
"1990 - MAI";3689
"1990 - JUN";2349
"1990 - JUL";2292
"1990 - AGO";3795
"1990 - SET";4465
"1990 - OUT";4076
"1990 - NOV";3753
"1990 - DEZ";3808
"1991 - JAN";3109
"1991 - FEV";2942
"1991 - MAR";3381
"1991 - ABR";3890
"1991 - MAI";3008
"1991 - JUN";4293
"1991 - JUL";4158
"1991 - AGO";4517
"1991 - SET";4169
"1991 - OUT";4344
"1991 - NOV";2141
"1991 - DEZ";1512
"1992 - JAN";1811
"1992 - FEV";1203
"1992 - MAR";1844
"1992 - ABR";2854
"1992 - MAI";2182
"1992 - JUN";2408
"1992 - JUL";2783
"1992 - AGO";2158
"1992 - SET";2298
"1992 - OUT";2300
"1992 - NOV";2225
"1992 - DEZ";1593
"1993 - JAN";1908
"1993 - FEV";2236
"1993 - MAR";3367
"1993 - ABR";3008
"1993 - MAI";3365
"1993 - JUN";3348
"1993 - JUL";3251
"1993 - AGO";3660
"1993 - SET";4107
"1993 - OUT";4008
"1993 - NOV";3025
"1993 - DEZ";3100
"1994 - JAN";2920
"1994 - FEV";2853
"1994 - MAR";3925
"1994 - ABR";3295
"1994 - MAI";4201
"1994 - JUN";4136
"1994 - JUL";4832
"1994 - AGO";6368
"1994 - SET";4226
"1994 - OUT";5156
"1994 - NOV";5560
"1994 - DEZ";4877
"1995 - JAN";4497
"1995 - FEV";5179
"1995 - MAR";6745
"1995 - ABR";5496
"1995 - MAI";6088
"1995 - JUN";5977
"1995 - JUL";4543
"1995 - AGO";4948
"1995 - SET";4272
"1995 - OUT";4198
"1995 - NOV";3292
"1995 - DEZ";3499
"1996 - JAN";2848
"1996 - FEV";3553
"1996 - MAR";2953
"1996 - ABR";4168
"1996 - MAI";3561
