"Exportação de Caminhões"
"Período";"CAMINHÕES"
"2004 - JAN";1053
"2004 - FEV";1483
"2004 - MAR";2119
"2004 - ABR";2127
"2004 - MAI";2157
"2004 - JUN";2180
"2004 - JUL";2360
"2004 - AGO";2201
"2004 - SET";2127
"2004 - OUT";1908
"2004 - NOV";1857
"2004 - DEZ";1644
"2005 - JAN";1439
"2005 - FEV";1930
"2005 - MAR";2621
"2005 - ABR";2187
"2005 - MAI";2714
"2005 - JUN";2802
"2005 - JUL";2704
"2005 - AGO";2907
"2005 - SET";3259
"2005 - OUT";4004
"2005 - NOV";3995
"2005 - DEZ";3070
"2006 - JAN";1441
"2006 - FEV";2513
"2006 - MAR";3067
"2006 - ABR";3143
"2006 - MAI";3278
"2006 - JUN";3013
"2006 - JUL";3147
"2006 - AGO";3193
"2006 - SET";2934
"2006 - OUT";2962
"2006 - NOV";3021
"2006 - DEZ";3371
"2007 - JAN";1775
"2007 - FEV";2505
"2007 - MAR";3073
"2007 - ABR";3105
"2007 - MAI";3628
"2007 - JUN";2977
"2007 - JUL";3434
"2007 - AGO";3625
"2007 - SET";3013
"2007 - OUT";3679
"2007 - NOV";3377
"2007 - DEZ";3920
"2008 - JAN";1661
"2008 - FEV";3197
"2008 - MAR";2862
"2008 - ABR";3057
"2008 - MAI";2806
"2008 - JUN";3275
"2008 - JUL";2972
"2008 - AGO";3998
"2008 - SET";3710
"2008 - OUT";3523
"2008 - NOV";2630
"2008 - DEZ";1140
"2009 - JAN";702
"2009 - FEV";1043
"2009 - MAR";917
"2009 - ABR";559
"2009 - MAI";694
"2009 - JUN";676
"2009 - JUL";805
"2009 - AGO";868
"2009 - SET";1051
"2009 - OUT";1065
"2009 - NOV";1305
"2009 - DEZ";1166
"2010 - JAN";1004
"2010 - FEV";1283
"2010 - MAR";1800
"2010 - ABR";1433
"2010 - MAI";1951
"2010 - JUN";1615
"2010 - JUL";2602
"2010 - AGO";1802
"2010 - SET";1950
"2010 - OUT";2273
"2010 - NOV";1719
"2010 - DEZ";1750
"2011 - JAN";1547
"2011 - FEV";1889
"2011 - MAR";2008
"2011 - ABR";2349
"2011 - MAI";2817
"2011 - JUN";2115
"2011 - JUL";1686
"2011 - AGO";2776
"2011 - SET";2786
"2011 - OUT";2608
"2011 - NOV";2823
"2011 - DEZ";1630
"2012 - JAN";1192
"2012 - FEV";2200
"2012 - MAR";2185
