"Produção de Caminhões"
"Período";"CAMINHÕES"
"1968 - MAI";3505
"1968 - JUN";3717
"1968 - JUL";3743
"1968 - AGO";3730
"1968 - SET";3736
"1968 - OUT";4143
"1968 - NOV";3244
"1968 - DEZ";3611
"1969 - JAN";3458
"1969 - FEV";3134
"1969 - MAR";3592
"1969 - ABR";3150
"1969 - MAI";3740
"1969 - JUN";4006
"1969 - JUL";4040
"1969 - AGO";3747
"1969 - SET";3721
"1969 - OUT";3412
"1969 - NOV";2491
"1969 - DEZ";2078
"1970 - JAN";2370
"1970 - FEV";2452
"1970 - MAR";3178
"1970 - ABR";3040
"1970 - MAI";3030
"1970 - JUN";3603
"1970 - JUL";3904
"1970 - AGO";3687
"1970 - SET";3616
"1970 - OUT";2859
"1970 - NOV";3346
"1970 - DEZ";3303
"1971 - JAN";3207
"1971 - FEV";2642
"1971 - MAR";3510
"1971 - ABR";3029
"1971 - MAI";2831
"1971 - JUN";3274
"1971 - JUL";3433
"1971 - AGO";4143
"1971 - SET";2981
"1971 - OUT";3544
"1971 - NOV";3073
"1971 - DEZ";3201
"1972 - JAN";3285
"1972 - FEV";3088
"1972 - MAR";3837
"1972 - ABR";3594
"1972 - MAI";4606
"1972 - JUN";4461
"1972 - JUL";4052
"1972 - AGO";4971
"1972 - SET";4528
"1972 - OUT";4805
"1972 - NOV";4582
"1972 - DEZ";4341
"1973 - JAN";4662
"1973 - FEV";4656
"1973 - MAR";4745
"1973 - ABR";4843
"1973 - MAI";5888
"1973 - JUN";5259
"1973 - JUL";5435
"1973 - AGO";5752
"1973 - SET";5545
"1973 - OUT";6245
"1973 - NOV";6389
"1973 - DEZ";5409
"1974 - JAN";4800
"1974 - FEV";4741
"1974 - MAR";5975
"1974 - ABR";6046
"1974 - MAI";6383
"1974 - JUN";5867
"1974 - JUL";6575
"1974 - AGO";7588
"1974 - SET";7514
"1974 - OUT";7704
"1974 - NOV";6781
"1974 - DEZ";5175
"1975 - JAN";5563
"1975 - FEV";5702
"1975 - MAR";6572
"1975 - ABR";7081
"1975 - MAI";6468
"1975 - JUN";6449
"1975 - JUL";6634
"1975 - AGO";6160
"1975 - SET";6772
"1975 - OUT";6718
"1975 - NOV";5726
"1975 - DEZ";5046
"1976 - JAN";5749
"1976 - FEV";5347
"1976 - MAR";6326
"1976 - ABR";5697
"1976 - MAI";6155
"1976 - JUN";6300
"1976 - JUL";7180
"1976 - AGO";7474
"1976 - SET";8065
"1976 - OUT";8090
"1976 - NOV";7226
"1976 - DEZ";7276
"1977 - JAN";7142
"1977 - FEV";7467
"1977 - MAR";8717
"1977 - ABR";7412
"1977 - MAI";9626
"1977 - JUN";9463
"1977 - JUL";8734
"1977 - AGO";10344
"1977 - SET";8648
"1977 - OUT";8498
"1977 - NOV";7742
"1977 - DEZ";5734
"1978 - JAN";6277
"1978 - FEV";6686
"1978 - MAR";6999
"1978 - ABR";6336
"1978 - MAI";7037
"1978 - JUN";7767
"1978 - JUL";7029
"1978 - AGO";7927
"1978 - SET";6663
"1978 - OUT";6983
"1978 - NOV";6470
"1978 - DEZ";7475
"1979 - JAN";7347
"1979 - FEV";6121
"1979 - MAR";5109
"1979 - ABR";7140
"1979 - MAI";7654
